cell,dataset,regime,beta,tag,nu,group,model,n_seeds,rare_mean,rare_std,overall_mean,overall_std,most_biased_users,p_over_r
imdb_beta0.00_decay1000,imdbwiki,infeasible,0.0,decay1000,0.31290673463385943,most_biased,fedavot,5,253.3218572,20.404131613104035,nan,nan,0,1.303411846040315
imdb_beta0.00_decay1000,imdbwiki,infeasible,0.0,decay1000,0.31290673463385943,most_biased,fedavg,5,331.4735444,10.653238896793,nan,nan,0,1.303411846040315
imdb_beta0.00_decay1000,imdbwiki,infeasible,0.0,decay1000,0.31290673463385943,most_biased,fedavg_mk,5,8531.256808,16144.767270234386,nan,nan,0,1.303411846040315
imdb_beta0.00_decay1000,imdbwiki,infeasible,0.0,decay1000,0.31290673463385943,most_biased,full,5,218.549834,0.0,nan,nan,0,1.303411846040315
imdb_beta0.50_const,imdbwiki,infeasible,0.5,const,0.5883697676698363,tier1,fedavot,5,99.6655,1.309258771977486,102.4842,0.6642241790239165,,
imdb_beta0.50_const,imdbwiki,infeasible,0.5,const,0.5883697676698363,tier1,fedavg,5,96.0565,0.4226428231970823,99.37964,0.40210037851262986,,
imdb_beta0.50_const,imdbwiki,infeasible,0.5,const,0.5883697676698363,tier1,full,5,72.4865,0.0,83.0686,0.0,,
imdb_beta0.50_const,imdbwiki,infeasible,0.5,const,0.5883697676698363,most_biased,fedavot,5,398.6585568,13.638603696621534,nan,nan,0,8.49476645933207
imdb_beta0.50_const,imdbwiki,infeasible,0.5,const,0.5883697676698363,most_biased,fedavg,5,391.7433696,6.525439183188744,nan,nan,0,8.49476645933207
imdb_beta0.50_const,imdbwiki,infeasible,0.5,const,0.5883697676698363,most_biased,full,5,224.55,0.0,nan,nan,0,8.49476645933207
imdb_beta0.50_decay1000,imdbwiki,infeasible,0.5,decay1000,0.5883697676698363,tier1,fedavot,5,90.31978,0.9668322117099754,93.23362,0.6220175766005337,,
imdb_beta0.50_decay1000,imdbwiki,infeasible,0.5,decay1000,0.5883697676698363,tier1,fedavg,5,93.15254,0.3528545003255578,96.6894,0.27988166070680637,,
imdb_beta0.50_decay1000,imdbwiki,infeasible,0.5,decay1000,0.5883697676698363,tier1,full,5,72.2286,0.0,82.9485,0.0,,
imdb_beta0.50_decay1000,imdbwiki,infeasible,0.5,decay1000,0.5883697676698363,most_biased,fedavot,5,373.4263136,17.703259813563484,nan,nan,0,8.49476645933207
imdb_beta0.50_decay1000,imdbwiki,infeasible,0.5,decay1000,0.5883697676698363,most_biased,fedavg,5,379.6854096,6.471061969368481,nan,nan,0,8.49476645933207
imdb_beta0.50_decay1000,imdbwiki,infeasible,0.5,decay1000,0.5883697676698363,most_biased,full,5,218.549834,0.0,nan,nan,0,8.49476645933207
imdb_beta1.00_const,imdbwiki,infeasible,1.0,const,0.6980443093814331,tier1,fedavot,5,104.5994,1.1361944551880212,105.9808,0.809378872963709,,
